"seconds","traffic"
1.0,	220
2.0,	221
3.0,	220
4.0,	221
5.0,	220
6.0,	221
7.0,	220
8.0,	221
9.0,	220
10.0,	221
11.0,	220
12.0,	221
13.0,	220
14.0,	221
15.0,	220
16.0,	221
17.0,	220
18.0,	221
19.0,	220
20.0,	221
21.0,	220
22.0,	221
23.0,	220
24.0,	221
25.0,	220
26.0,	221
27.0,	220
28.0,	221
29.0,	220
30.0,	221
31.0,	220
32.0,	221
33.0,	220
34.0,	221
35.0,	220
36.0,	221
37.0,	220
38.0,	221
39.0,	220
40.0,	221
41.0,	220
42.0,	221
43.0,	220
44.0,	221
45.0,	220
46.0,	221
47.0,	220
48.0,	221
49.0,	220
50.0,	221
51.0,	220
52.0,	221
53.0,	220
54.0,	221
55.0,	220
56.0,	221
57.0,	220
58.0,	221
59.0,	220
60.0,	221
61.0,	220
62.0,	221
63.0,	220
64.0,	221
65.0,	220
66.0,	221
67.0,	220
68.0,	221
69.0,	220
70.0,	221
71.0,	220
72.0,	221
73.0,	220
74.0,	221
75.0,	220
76.0,	221
77.0,	220
78.0,	221
79.0,	220
80.0,	221
81.0,	220
82.0,	221
83.0,	220
84.0,	221
85.0,	220
86.0,	221
87.0,	220
88.0,	221
89.0,	220
90.0,	221
91.0,	220
92.0,	221
93.0,	220
94.0,	221
95.0,	220
96.0,	221
97.0,	220
98.0,	221
99.0,	220
100.0,	221
101.0,	220
102.0,	221
103.0,	220
104.0,	221
105.0,	220
106.0,	221
107.0,	220
108.0,	221
109.0,	220
110.0,	221
111.0,	220
112.0,	221
113.0,	220
114.0,	221
115.0,	220
116.0,	221
117.0,	220
118.0,	221
119.0,	220
120.0,	221
121.0,	220
122.0,	221
123.0,	220
124.0,	221
125.0,	220
126.0,	221
127.0,	220
128.0,	221
129.0,	220
130.0,	221
131.0,	220
132.0,	221
133.0,	220
134.0,	221
135.0,	220
136.0,	221
137.0,	220
138.0,	221
139.0,	220
140.0,	221
141.0,	220
142.0,	221
143.0,	220
144.0,	221
145.0,	220
146.0,	221
147.0,	220
148.0,	221
149.0,	220
150.0,	221
151.0,	220
152.0,	221
153.0,	220
154.0,	221
155.0,	220
156.0,	221
157.0,	220
158.0,	221
159.0,	220
160.0,	221
161.0,	220
162.0,	221
163.0,	220
164.0,	221
165.0,	220
166.0,	221
167.0,	220
168.0,	221
169.0,	220
170.0,	221
171.0,	220
172.0,	221
173.0,	220
174.0,	221
175.0,	220
176.0,	221
177.0,	220
178.0,	221
179.0,	220
180.0,	221
181.0,	220
182.0,	221
183.0,	220
184.0,	221
185.0,	220
186.0,	221
187.0,	220
188.0,	221
189.0,	220
190.0,	221
191.0,	220
192.0,	221
193.0,	220
194.0,	221
195.0,	220
196.0,	221
197.0,	220
198.0,	221
199.0,	220
200.0,	221
201.0,	220
202.0,	221
203.0,	220
204.0,	221
205.0,	220
206.0,	221
207.0,	220
208.0,	221
209.0,	220
210.0,	221
211.0,	220
212.0,	221
213.0,	220
214.0,	221
215.0,	220
216.0,	221
217.0,	220
218.0,	221
219.0,	220
220.0,	221
221.0,	220
222.0,	221
223.0,	220
224.0,	221
225.0,	220
226.0,	221
227.0,	220
228.0,	221
229.0,	220
230.0,	221
231.0,	220
232.0,	221
233.0,	220
234.0,	221
235.0,	220
236.0,	221
237.0,	220
238.0,	221
239.0,	220
240.0,	221
241.0,	220
242.0,	221
243.0,	220
244.0,	221
245.0,	220
246.0,	221
247.0,	220
248.0,	221
249.0,	220
250.0,	221
251.0,	220
252.0,	221
253.0,	220
254.0,	221
255.0,	220
256.0,	221
257.0,	220
258.0,	221
259.0,	220
260.0,	221
261.0,	220
262.0,	221
263.0,	220
264.0,	221
265.0,	220
266.0,	221
267.0,	220
268.0,	221
269.0,	220
270.0,	221
271.0,	220
272.0,	221
273.0,	220
274.0,	221
275.0,	220
276.0,	221
277.0,	220
278.0,	221
279.0,	220
280.0,	221
281.0,	220
282.0,	221
283.0,	220
284.0,	221
285.0,	220
286.0,	221
287.0,	220
288.0,	221
289.0,	220
290.0,	221
291.0,	220
292.0,	221
293.0,	220
294.0,	221
295.0,	220
296.0,	221
297.0,	220
298.0,	221
299.0,	220
300.0,	221

